Country,Edition,Fixed-line broadband subscribers,Mobile subscribers,Gender gap in internet access,Gender gap in mobile phone access,Average mobile latency,Bandwidth capacity,Internet exchange points,Urban electricity access,Rural electricity access,Smartphone cost (handset),"Average revenue per user (ARPU, annualized)",e-Entertainment usage,Nominal GDP,Population,Urban population,GNI per capita,GINI coefficient,Population under the poverty line,Total electricity access,Percentage of schools with Internet access,Global Peace Index,Democracy Index,Internet users (population),Offline population,Internet access gender gap,Mobile phone access gender gap,Internet users (percent of population),Male internet users,Female internet users,Male mobile phone subscribers,Female mobile phone subscribers,Total fixed line broadband subscribers,Year,Income Class,Mobile subscribers (Percentage),Offline population (Percentage)
Argentina,E1,15.92,143.6,,,88.0,35158.0,0.23,99.2,66.2,63.9,117.5,,557.1,43.5,91.5,12570,42.0,0.3,99.96,36.0,2.0,7.0,29.31,13.77,,,68.0,,,85.0,84.0,6855837,2017,High Income,3.301149425287356,31.655172413793103
Argentina,E2,16.67,146.5,-4.5,-1.2,57.19,39714.0,5.47,100.0,85.09,59.2,89.9,78.0,643.3,43.9,91.6,12220,41.2,0.3,100.0,36.0,1.9,7.0,30.88,12.63,-3.0,-1.0,71.0,66.0,69.0,81.0,82.0,7223128,2018,Upper-Middle Income,3.337129840546697,28.769931662870164
Argentina,E3,17.85,140.9,-4.5,-2.5,50.95,42275.0,5.65,100.0,85.46,52.8,103.8,86.0,517.2,44.4,91.8,13120,41.4,0.3,100.0,55.5,1.9,7.0,32.65,11.29,-3.0,-2.0,74.3,67.0,70.0,81.0,83.0,7842778,2019,High Income,3.1734234234234235,25.42792792792793
Argentina,E4,19.1,132.1,-5.7,-3.6,43.66,42275.0,5.64,100.0,85.3,50.1,80.9,94.0,445.0,44.8,91.9,12390,41.4,0.2,100.0,55.5,2.0,7.0,32.65,11.29,-4.0,-3.0,74.3,70.0,74.0,83.0,86.0,8473655,2020,Upper-Middle Income,2.9486607142857144,25.200892857142858
Argentina,E5,19.64,125.8,-2.6,-2.4,40.78,42275.0,6.03,100.0,84.9,54.3,76.1,92.0,392.9,45.2,92.0,11200,41.4,0.4,100.0,54.9,2.0,7.0,32.65,11.29,-2.0,-2.0,74.3,77.0,79.0,83.0,85.0,8793181,2021,Upper-Middle Income,2.783185840707964,24.97787610619469
Australia,E1,28.53,107.7,,,46.0,27671.0,6.68,100.0,100.0,94.5,394.1,,1266.8,24.3,85.7,60500,34.4,0.4,100.0,97.0,1.5,9.0,20.24,3.69,,,84.6,,,91.0,85.0,6828000,2017,High Income,4.432098765432099,15.185185185185185
Australia,E2,30.39,109.4,4.3,1.1,34.34,38101.0,7.88,100.0,100.0,95.1,352.6,66.0,1386.9,24.6,85.8,54140,34.4,0.4,100.0,100.0,1.4,9.0,21.0,3.27,4.0,1.0,86.5,92.0,88.0,87.0,86.0,7374000,2018,High Income,4.4471544715447155,13.292682926829267
Australia,E3,32.22,108.4,3.2,1.1,30.32,67209.0,7.77,100.0,100.0,93.1,341.0,80.0,1420.6,24.9,85.9,51600,34.4,0.4,100.0,100.0,1.4,9.1,21.28,3.31,3.0,1.0,86.5,93.0,90.0,90.0,89.0,7923000,2019,High Income,4.353413654618475,13.293172690763052
Australia,E4,33.85,111.0,4.3,2.2,31.01,67209.0,8.03,100.0,100.0,100.0,331.2,96.0,1397.6,25.2,86.0,53250,34.4,0.4,100.0,100.0,1.4,9.1,21.28,3.31,4.0,2.0,86.5,93.0,89.0,89.0,87.0,8427316,2020,High Income,4.404761904761905,13.134920634920636
Australia,E5,34.73,110.6,2.1,2.2,30.52,67209.0,9.52,100.0,100.0,100.0,329.8,88.0,1336.0,25.5,86.1,54910,34.4,0.4,100.0,100.0,1.4,9.1,21.28,3.31,2.0,2.0,86.5,94.0,92.0,93.0,91.0,8705523,2021,High Income,4.337254901960784,12.980392156862743
Austria,E1,28.29,155.2,,,42.0,49417.0,4.68,99.99,100.0,56.6,219.2,,395.6,8.6,57.7,47450,30.8,0.1,100.0,100.0,2.0,8.5,7.18,1.37,,,83.9,,,93.0,89.0,2455500,2017,High Income,18.046511627906977,15.930232558139537
Austria,E2,28.85,126.7,7.3,6.2,35.75,53552.0,4.66,100.0,100.0,56.0,224.5,86.0,418.9,8.6,57.9,46220,29.7,0.6,100.0,100.0,1.3,8.4,7.23,1.34,7.0,6.0,84.3,96.0,89.0,96.0,90.0,2523300,2018,High Income,14.732558139534884,15.58139534883721
Austria,E3,28.47,123.1,-1.1,-1.1,32.86,52219.0,4.65,100.0,100.0,85.6,234.5,90.0,455.9,8.6,58.1,45150,29.7,0.6,100.0,100.0,1.3,8.4,7.57,1.04,-1.0,-1.0,87.9,91.0,92.0,93.0,94.0,2511200,2019,High Income,14.313953488372093,12.093023255813955
Austria,E4,28.35,123.5,10.3,0.0,30.72,52219.0,4.64,100.0,100.0,75.2,217.4,92.0,446.0,8.6,58.3,49400,29.7,0.2,100.0,100.0,1.3,8.3,7.55,1.08,10.0,0.0,87.5,97.0,87.0,93.0,93.0,2521100,2020,High Income,14.36046511627907,12.558139534883722
Austria,E5,28.13,119.8,2.2,-1.0,28.22,52219.0,10.41,100.0,100.0,75.0,211.4,78.0,429.4,8.7,58.5,51300,29.7,0.2,100.0,100.0,1.3,8.3,7.59,1.06,2.0,-1.0,87.8,91.0,89.0,96.0,97.0,2513000,2021,High Income,13.770114942528737,12.183908045977013
Azerbaijan,E1,19.74,111.2,,,91.0,35090.0,0.0,100.0,100.0,16.7,54.0,,37.9,9.7,54.7,6570,26.6,0.0,100.0,63.1,2.0,2.7,7.41,2.21,,,77.0,,,98.0,96.0,1899456,2017,Upper-Middle Income,11.463917525773198,22.783505154639176
Azerbaijan,E2,18.53,104.7,28.4,17.6,59.69,34149.0,0.0,100.0,100.0,29.5,51.2,,40.9,9.8,55.0,4760,26.6,0.0,100.0,56.6,2.0,2.7,7.61,2.12,19.0,16.0,78.2,67.0,48.0,91.0,75.0,1803662,2018,Upper-Middle Income,10.683673469387754,21.632653061224488
Azerbaijan,E3,18.34,102.9,16.4,22.0,43.87,46286.0,0.0,100.0,100.0,36.8,51.0,,47.1,9.9,55.3,4090,26.6,0.0,100.0,60.6,2.2,2.7,7.78,2.07,10.0,20.0,79.0,61.0,51.0,91.0,71.0,1805214,2019,Upper-Middle Income,10.393939393939394,20.909090909090907
Azerbaijan,E4,19.01,103.9,15.0,11.5,36.23,52143.0,0.0,100.0,100.0,25.4,51.2,94.3,48.0,10.0,55.7,4060,26.6,0.0,100.0,60.6,2.5,2.7,7.94,2.01,12.0,11.0,79.8,80.0,68.0,96.0,85.0,1890913,2020,Upper-Middle Income,10.39,20.099999999999998
Azerbaijan,E5,19.34,107.0,12.2,6.2,29.51,52143.0,0.0,100.0,100.0,52.8,50.4,85.9,41.3,10.1,56.0,4480,26.6,0.0,100.0,62.6,2.3,2.8,7.94,2.01,10.0,6.0,79.8,82.0,72.0,96.0,90.0,1943013,2021,Upper-Middle Income,10.594059405940595,19.9009900990099
Bahrain,E1,18.45,183.6,,,49.0,88635.0,14.6,100.0,100.0,44.4,291.8,,32.2,1.4,89.0,22660,34.4,0.2,100.0,60.3,2.3,2.8,1.28,0.09,,,93.5,,,98.0,97.0,253041,2017,High Income,131.14285714285714,6.42857142857143
Bahrain,E2,16.3,210.0,5.3,0.0,42.64,87210.0,14.05,100.0,100.0,47.7,255.6,,35.5,1.5,89.1,21610,34.4,0.1,100.0,100.0,2.1,2.8,1.4,0.03,5.0,0.0,98.0,94.0,89.0,100.0,100.0,232385,2018,High Income,140.0,2.0
Bahrain,E3,13.0,158.3,-4.4,-1.0,34.46,108655.0,13.32,100.0,100.0,40.8,248.7,,37.7,1.5,89.2,21180,34.4,0.0,100.0,100.0,2.2,2.7,1.44,0.06,-4.0,-1.0,95.9,91.0,95.0,99.0,100.0,213880,2019,High Income,105.53333333333335,4.0
Bahrain,E4,8.05,133.3,-4.4,-0.4,32.31,130218.0,13.32,100.0,100.0,51.3,266.9,94.0,38.6,1.5,89.3,21900,34.4,0.5,100.0,100.0,2.3,2.7,1.48,0.02,-4.0,-0.4,98.6,91.0,95.0,97.9,98.3,184603,2020,High Income,88.86666666666667,1.3333333333333335
Bahrain,E5,8.59,115.8,-1.1,0.0,26.44,396205.0,13.48,100.0,100.0,73.3,287.9,86.0,36.5,1.5,89.4,22110,34.4,0.5,100.0,100.0,2.2,2.6,1.48,0.0,-1.0,0.0,99.7,95.0,96.0,100.0,100.0,205031,2021,High Income,77.2,0.0
Bangladesh,E1,3.13,84.1,,,117.0,8969.0,0.06,90.2,47.5,26.6,20.6,,221.4,158.0,34.3,1220,32.4,3.6,75.92,21.7,2.0,5.7,22.5,133.76,,,14.4,,,86.0,77.0,4892940,2017,Lower-Middle Income,0.5322784810126582,84.65822784810126
Bangladesh,E2,4.17,86.1,63.2,28.4,72.42,12242.0,0.0,90.4,66.7,33.1,20.8,94.0,249.7,159.7,35.1,1370,32.4,3.6,88.0,21.7,2.0,5.7,28.47,129.51,12.0,23.0,18.0,19.0,7.0,81.0,58.0,6592396,2018,Lower-Middle Income,0.5391358797745773,81.09580463368816
Bangladesh,E3,4.57,94.5,51.9,27.9,52.6,12242.0,0.06,93.24,72.6,33.2,21.1,82.0,274.0,161.4,35.9,1520,32.4,2.7,85.16,82.3,2.1,5.4,28.47,129.51,14.0,24.0,18.0,27.0,13.0,86.0,62.0,7300500,2019,Lower-Middle Income,0.5855018587360594,80.24163568773234
Bangladesh,E4,4.99,100.2,55.6,19.5,51.77,12242.0,0.06,96.1,78.5,51.1,19.1,92.0,302.6,163.0,36.6,1750,32.4,2.7,85.16,82.3,2.2,5.6,28.47,129.51,20.0,17.0,18.0,36.0,16.0,87.0,70.0,8052889,2020,Lower-Middle Income,0.6147239263803681,79.45398773006134
Bangladesh,E5,4.96,101.5,55.6,20.9,43.87,73694.0,0.0,93.2,76.8,39.4,19.4,88.0,329.8,164.7,37.4,1940,32.4,2.7,85.16,37.6,2.1,5.9,21.03,142.01,20.0,18.0,12.9,36.0,16.0,86.0,68.0,8085500,2021,Lower-Middle Income,0.6162720097146327,86.2234365513054
Belgium,E1,36.51,113.2,,,43.0,117699.0,1.77,99.99,100.0,88.8,317.3,,476.1,11.4,97.9,45540,27.6,0.1,100.0,100.0,2.0,7.9,9.6,1.69,,,85.1,,,94.0,92.0,4121049,2017,High Income,9.929824561403509,14.82456140350877
Belgium,E2,37.61,110.5,3.4,3.1,34.92,131319.0,0.88,100.0,100.0,87.7,285.0,96.0,503.6,11.4,97.9,43440,27.4,0.1,100.0,100.0,1.5,7.8,9.82,1.53,3.0,3.0,86.5,89.0,86.0,98.0,95.0,4270309,2018,High Income,9.692982456140351,13.421052631578947
Belgium,E3,38.35,99.5,7.8,2.1,30.5,134827.0,0.87,100.0,100.0,80.5,284.8,76.0,542.9,11.5,98.0,42750,27.4,0.1,100.0,100.0,1.6,7.8,10.01,1.41,7.0,2.0,87.7,90.0,83.0,95.0,93.0,4378973,2019,High Income,8.652173913043478,12.26086956521739
Belgium,E4,39.22,99.7,2.1,0.0,31.87,134827.0,1.74,100.0,100.0,77.5,305.0,88.0,529.7,11.5,98.0,45940,27.4,0.1,100.0,100.0,1.6,7.8,10.18,1.3,2.0,0.0,88.7,94.0,92.0,99.0,99.0,4502950,2020,High Income,8.669565217391305,11.304347826086957
Belgium,E5,39.78,99.7,4.3,2.0,29.65,134827.0,3.47,100.0,100.0,100.0,289.7,78.0,504.2,11.6,98.0,47350,27.4,0.1,100.0,100.0,1.5,7.6,10.43,1.11,4.0,2.0,90.4,94.0,90.0,99.0,97.0,4590707,2021,High Income,8.594827586206897,9.56896551724138
Benin,E1,0.69,88.1,,,142.5,1863.0,0.95,56.5,8.5,13.3,39.5,,11.8,10.9,45.7,1180,47.8,19.0,38.97,20.2,2.2,5.7,1.19,9.39,,,11.3,,,69.0,49.0,73263,2017,Lower-Middle Income,8.082568807339449,86.1467889908257
Benin,E2,0.21,81.8,58.8,32.5,140.38,5718.0,0.92,56.4,11.27,17.3,39.6,,12.7,11.2,46.2,1110,47.8,22.4,34.5,21.7,2.2,5.7,1.3,9.57,10.0,25.0,12.0,17.0,7.0,77.0,52.0,22298,2018,Lower-Middle Income,7.303571428571429,85.44642857142858
Benin,E3,0.26,78.5,53.8,20.7,91.0,32502.0,0.89,53.8,9.09,31.7,40.4,80.0,14.2,11.5,46.8,1090,47.8,22.4,41.53,3.7,2.0,5.6,1.58,9.6,14.0,17.0,14.1,26.0,12.0,82.0,65.0,28615,2019,Lower-Middle Income,6.826086956521739,83.47826086956522
Benin,E4,0.24,82.4,45.2,13.5,71.73,32502.0,0.87,62.8,9.1,16.8,39.7,80.0,14.4,11.8,47.3,1200,47.8,22.4,41.53,3.7,2.0,5.7,1.58,9.6,14.0,10.0,14.1,31.0,17.0,74.0,64.0,27034,2020,Lower-Middle Income,6.983050847457627,81.35593220338983
Benin,E5,0.21,87.7,63.2,20.0,50.59,32502.0,0.85,58.1,9.4,14.5,39.2,84.0,14.9,12.1,47.9,1250,47.8,22.4,41.53,3.7,2.2,5.1,1.58,9.6,24.0,17.0,14.1,38.0,14.0,85.0,68.0,25435,2021,Lower-Middle Income,7.247933884297521,79.33884297520662
Botswana,E1,1.74,163.9,,,132.0,8132.0,4.52,75.0,75.0,45.7,84.8,,15.6,2.2,67.2,6840,53.3,5.8,60.35,86.3,2.2,7.9,0.79,1.33,,,37.3,,,84.0,87.0,36845,2017,Upper-Middle Income,74.5,60.45454545454545
Botswana,E2,2.73,152.3,35.6,2.3,107.28,18819.0,4.44,69.0,31.61,50.7,84.9,80.0,17.4,2.2,67.9,6570,53.3,4.3,62.6,86.3,1.6,7.9,0.85,1.31,16.0,2.0,39.4,45.0,29.0,88.0,86.0,59057,2018,Upper-Middle Income,69.22727272727273,59.54545454545455
Botswana,E3,1.47,147.0,37.5,-6.2,70.21,23150.0,4.37,69.0,31.61,59.7,88.0,78.6,18.7,2.2,68.7,6730,53.3,4.3,64.85,86.3,1.7,7.8,0.92,1.29,18.0,-5.0,41.4,48.0,30.0,81.0,86.0,32434,2019,Upper-Middle Income,66.81818181818181,58.63636363636363
Botswana,E4,1.78,150.0,32.3,2.3,56.06,23150.0,4.27,72.5,26.7,63.2,79.0,94.0,18.3,2.3,69.4,7410,53.3,4.3,64.85,86.3,1.7,7.8,0.92,1.29,20.0,2.0,41.4,62.0,42.0,87.0,85.0,40044,2020,Upper-Middle Income,65.21739130434783,56.08695652173914
Botswana,E5,2.14,162.6,36.1,-3.7,59.16,23150.0,4.35,71.4,28.9,66.4,79.0,86.0,13.5,2.3,70.2,7660,53.3,4.3,64.85,86.3,1.7,7.8,0.92,1.29,22.0,-3.0,41.4,61.0,39.0,82.0,85.0,45011,2021,Upper-Middle Income,70.69565217391305,56.08695652173914
Brazil,E1,12.46,126.1,,,114.0,23477.0,1.17,100.0,97.3,47.6,59.6,,1796.3,205.2,85.8,10190,53.3,0.9,99.7,76.2,2.2,7.0,118.68,84.79,,,58.3,,,86.0,87.0,25482478,2017,Upper-Middle Income,0.6145224171539961,41.3206627680312
Brazil,E2,13.03,118.4,1.6,4.6,80.82,27092.0,1.5,100.0,97.31,46.1,64.5,96.0,2062.4,206.8,86.0,8920,53.3,1.1,100.0,76.2,2.2,6.9,124.88,80.27,1.0,4.0,60.9,64.0,63.0,87.0,83.0,26860779,2018,Upper-Middle Income,0.5725338491295938,38.81528046421663
Brazil,E3,13.91,106.5,-9.2,-1.2,65.01,29238.0,1.64,99.96,98.14,43.5,69.7,96.0,1885.1,208.5,86.3,8700,53.9,1.4,100.0,76.2,2.2,6.9,139.53,67.27,-6.0,-1.0,67.5,65.0,71.0,85.0,86.0,28907867,2019,Upper-Middle Income,0.5107913669064749,32.26378896882493
Brazil,E4,14.91,100.0,-3.2,-3.7,56.97,29238.0,1.58,100.0,98.6,36.2,74.6,96.0,1839.5,210.1,86.6,9080,53.9,1.6,100.0,69.0,2.4,7.0,146.85,61.64,-2.0,-3.0,70.4,63.0,65.0,80.0,83.0,31233004,2020,Upper-Middle Income,0.4759638267491671,29.33841028081866
Brazil,E5,15.6,95.7,-2.7,1.1,47.34,29238.0,1.57,99.7,99.6,63.4,79.7,94.3,1399.0,211.8,86.8,9130,53.9,1.7,100.0,83.2,2.4,6.9,146.85,61.64,-2.0,1.0,70.4,74.0,76.0,87.0,86.0,32563453,2021,Upper-Middle Income,0.4518413597733711,29.102927289896126
Bulgaria,E1,22.42,127.7,,,49.0,151458.0,6.97,99.99,100.0,43.6,80.4,,53.8,7.1,74.0,7450,40.6,0.5,100.0,89.1,2.0,7.1,4.07,3.11,,,56.7,,,87.0,88.0,1614541,2017,Upper-Middle Income,17.985915492957748,43.802816901408455
Bulgaria,E2,23.74,125.5,-3.1,1.1,38.41,206881.0,7.01,100.0,100.0,44.8,82.8,96.0,59.0,7.1,74.3,7430,40.4,1.4,100.0,93.9,1.6,7.0,4.27,2.87,-2.0,1.0,59.8,64.0,66.0,89.0,88.0,1697590,2018,Upper-Middle Income,17.67605633802817,40.42253521126761
Bulgaria,E3,25.3,120.1,4.5,-1.1,32.8,178941.0,7.06,100.0,100.0,41.5,85.5,96.0,66.2,7.0,74.7,7640,40.4,0.7,100.0,100.0,1.6,7.0,4.49,2.59,3.0,-1.0,63.4,66.0,63.0,88.0,89.0,1796682,2019,Upper-Middle Income,17.157142857142855,37.0
Bulgaria,E4,27.0,118.9,0.0,1.1,30.56,455713.0,7.11,100.0,100.0,36.2,87.2,96.0,67.9,7.0,75.0,8910,40.4,0.4,100.0,100.0,1.6,7.0,4.56,2.48,0.0,1.0,64.8,66.0,66.0,91.0,90.0,1903946,2020,Upper-Middle Income,16.985714285714288,35.42857142857142
Bulgaria,E5,28.78,116.2,-1.5,0.0,27.82,484813.0,8.58,100.0,100.0,57.0,91.4,76.0,66.9,6.9,75.4,9410,40.4,0.4,100.0,100.0,1.6,7.0,4.75,2.24,-1.0,0.0,67.9,68.0,69.0,87.0,87.0,1935544,2021,Upper-Middle Income,16.840579710144926,32.46376811594203
Burkina Faso,E1,0.05,79.8,,,142.5,3270.0,0.55,56.1,1.4,0.0,39.5,,12.8,18.6,27.5,700,35.3,11.1,16.86,1.0,2.1,4.7,2.54,15.58,,,14.0,,,74.0,56.0,9354,2017,Low Income,4.290322580645161,83.76344086021504
Burkina Faso,E2,0.07,82.6,42.1,31.1,206.55,6066.0,0.54,58.1,1.46,2.4,39.6,96.0,14.1,19.2,28.1,660,35.3,11.1,17.51,1.0,2.1,4.7,2.6,16.04,8.0,23.0,14.0,19.0,11.0,74.0,51.0,12384,2018,Low Income,4.302083333333333,83.54166666666667
Burkina Faso,E3,0.06,93.5,56.5,16.9,204.19,5961.0,0.52,58.1,1.46,12.1,40.4,64.0,16.2,19.8,28.7,680,35.3,11.1,14.4,2.6,2.0,4.8,3.05,16.15,13.0,13.0,15.9,23.0,10.0,77.0,64.0,12361,2019,Low Income,4.722222222222222,81.56565656565655
Burkina Faso,E4,0.07,97.9,9.1,10.3,87.47,5961.0,0.51,63.8,1.6,16.4,39.7,88.0,15.7,20.3,29.4,760,35.3,11.1,14.4,2.6,2.2,4.8,3.05,16.15,2.0,8.0,15.9,22.0,20.0,78.0,70.0,13818,2020,Low Income,4.822660098522167,79.55665024630541
Burkina Faso,E5,0.06,100.2,37.5,18.5,82.9,5961.0,0.49,68.7,1.9,16.8,39.2,78.0,15.9,20.9,30.0,790,35.3,11.1,14.4,1.4,2.3,4.0,3.05,16.15,9.0,15.0,15.9,24.0,15.0,81.0,66.0,12015,2021,Low Income,4.794258373205742,77.27272727272727
Burundi,E1,0.03,49.2,,,142.5,6068.0,0.98,27.5,2.1,0.0,39.5,,3.0,10.5,12.1,260,38.6,30.4,9.64,20.2,2.2,2.5,0.49,9.67,,,4.9,,,64.3,55.1,2771,2017,Low Income,4.685714285714286,92.0952380952381
Burundi,E2,0.03,51.1,50.0,16.2,96.78,6469.0,0.95,34.98,6.47,0.0,39.6,,3.2,10.8,12.4,270,38.6,30.4,9.3,0.7,2.2,2.4,0.54,9.95,0.7,10.8,5.2,1.4,0.7,70.0,59.2,3245,2018,Low Income,4.731481481481481,92.12962962962962
Burundi,E3,0.04,54.7,61.5,15.2,85.97,20372.0,0.92,34.98,6.47,0.0,40.4,,3.0,11.2,12.7,280,38.6,30.4,11.02,0.7,2.2,2.3,0.29,10.54,2.4,9.9,2.7,3.9,1.5,70.2,60.3,3914,2019,Low Income,4.883928571428572,94.10714285714286
Burundi,E4,0.04,56.5,40.0,26.8,68.7,20372.0,0.89,68.5,2.0,0.0,39.7,94.0,3.0,11.5,13.0,280,38.6,30.4,11.02,0.7,2.5,2.3,0.29,10.54,8.0,11.0,2.7,20.0,12.0,41.0,30.0,3935,2020,Low Income,4.913043478260869,91.65217391304347
Burundi,E5,0.03,56.6,40.0,26.8,59.82,20372.0,0.87,66.2,2.3,0.0,39.2,82.0,2.9,11.9,13.4,280,38.6,30.4,11.02,0.7,2.5,2.2,0.29,10.54,8.0,11.0,2.7,20.0,12.0,41.0,30.0,3791,2021,Low Income,4.756302521008403,88.57142857142856
Cambodia,E1,0.54,134.3,,,66.0,53075.0,1.28,97.0,18.2,6.5,158.1,,20.0,15.8,22.2,1060,37.9,0.3,76.6,6.6,2.2,4.3,1.0,14.52,,,6.4,,,87.0,75.0,83504,2017,Lower-Middle Income,8.5,91.89873417721518
Cambodia,E2,0.62,126.3,38.2,13.3,47.75,18810.0,1.27,97.0,49.8,26.5,154.7,98.0,22.2,16.0,22.6,1140,37.9,0.5,89.07,6.6,2.1,4.3,5.11,10.66,13.0,11.0,32.4,34.0,21.0,83.0,72.0,97641,2018,Lower-Middle Income,7.89375,66.625
Cambodia,E3,0.83,116.0,29.4,16.5,41.77,32931.0,1.25,97.0,49.8,30.0,153.1,72.0,24.6,16.2,23.0,1230,37.9,0.5,91.55,6.6,2.1,3.6,5.27,10.74,10.0,13.0,32.9,34.0,24.0,79.0,66.0,133633,2019,Lower-Middle Income,7.1604938271604945,66.2962962962963
Cambodia,E4,1.02,119.5,32.0,14.8,47.76,47752.0,1.23,100.0,63.6,31.5,144.1,96.0,27.1,16.5,23.4,1380,37.9,0.2,91.55,6.6,2.0,3.6,6.59,9.66,16.0,12.0,40.5,50.0,34.0,81.0,69.0,166200,2020,Lower-Middle Income,7.242424242424242,58.54545454545455
Cambodia,E5,1.12,129.9,21.2,14.6,42.28,47752.0,1.21,100.0,66.9,36.8,141.3,86.0,27.3,16.7,23.8,1480,37.9,0.3,91.55,6.6,2.0,3.5,6.59,9.66,11.0,12.0,40.5,52.0,41.0,82.0,70.0,184379,2021,Lower-Middle Income,7.778443113772456,57.84431137724552
Cameroon,E1,0.09,77.9,,,201.0,1515.0,0.43,87.5,17.0,23.4,46.2,,32.6,23.9,54.6,1440,46.6,7.6,60.03,6.7,2.4,3.7,4.82,18.48,,,20.7,,,68.0,73.0,20447,2017,Lower-Middle Income,3.259414225941423,77.32217573221757
Cameroon,E2,1.52,78.2,45.2,11.0,94.95,2752.0,0.43,94.18,21.02,27.8,42.8,88.0,34.9,24.6,55.2,1380,46.6,7.6,61.34,6.7,2.4,3.5,5.55,18.38,14.0,8.0,23.2,31.0,17.0,73.0,65.0,45974,2018,Lower-Middle Income,3.178861788617886,74.71544715447153
Cameroon,E3,1.56,82.0,22.6,11.4,76.18,2681.0,0.42,95.9,19.47,43.4,44.7,80.0,38.7,25.2,55.8,1340,46.6,7.6,62.66,23.1,2.5,3.6,5.7,18.87,7.0,9.0,23.2,31.0,24.0,79.0,70.0,16765,2019,Lower-Middle Income,3.253968253968254,74.8809523809524
