Year,Country,Internet users (population),Offline population,Internet users (percent of population),Population
2020,Belgium,10.18,1.3,88.7,11.5
2021,Belgium,10.43,1.11,90.4,11.6
2017,Benin,1.19,9.39,11.3,10.9
2018,Benin,1.3,9.57,12.0,11.2
2019,Benin,1.58,9.6,14.1,11.5
2020,Benin,1.58,9.6,14.1,11.8
2021,Benin,1.58,9.6,14.1,12.1
2017,Botswana,0.79,1.33,37.3,2.2
2018,Botswana,0.85,1.31,39.4,2.2
2019,Botswana,0.92,1.29,41.4,2.2
2020,Botswana,0.92,1.29,41.4,2.3
2021,Botswana,0.92,1.29,41.4,2.3
2017,Brazil,118.68,84.79,58.3,205.2
2018,Brazil,124.88,80.27,60.9,206.8
2019,Brazil,139.53,67.27,67.5,208.5
2020,Brazil,146.85,61.64,70.4,210.1
2021,Brazil,146.85,61.64,70.4,211.8
2017,Bulgaria,4.07,3.11,56.7,7.1
2018,Bulgaria,4.27,2.87,59.8,7.1
2019,Bulgaria,4.49,2.59,63.4,7.0
2020,Bulgaria,4.56,2.48,64.8,7.0
2021,Bulgaria,4.75,2.24,67.9,6.9
2017,Burkina Faso,2.54,15.58,14.0,18.6
2018,Burkina Faso,2.6,16.04,14.0,19.2
2019,Burkina Faso,3.05,16.15,15.9,19.8
2020,Burkina Faso,3.05,16.15,15.9,20.3
2021,Burkina Faso,3.05,16.15,15.9,20.9
2017,Burundi,0.49,9.67,4.9,10.5
2018,Burundi,0.54,9.95,5.2,10.8
2019,Burundi,0.29,10.54,2.7,11.2
2020,Burundi,0.29,10.54,2.7,11.5
2021,Burundi,0.29,10.54,2.7,11.9
2017,Cambodia,1.0,14.52,6.4,15.8
2018,Cambodia,5.11,10.66,32.4,16.0
2019,Cambodia,5.27,10.74,32.9,16.2
2020,Cambodia,6.59,9.66,40.5,16.5
2021,Cambodia,6.59,9.66,40.5,16.7
2017,Cameroon,4.82,18.48,20.7,23.9
2018,Cameroon,5.55,18.38,23.2,24.6
2019,Cameroon,5.7,18.87,23.2,25.2
2020,Cameroon,5.7,18.87,23.2,25.9
2021,Cameroon,5.7,18.87,23.2,26.6
2017,Canada,32.42,3.6,90.0,36.4
2018,Canada,33.17,3.22,91.2,36.7
2019,Canada,34.05,2.68,92.7,37.1
2020,Canada,34.05,2.68,92.7,37.4
2021,Canada,34.05,2.68,92.7,37.7
2017,Chile,13.77,4.2,76.6,18.2
2018,Chile,15.22,2.99,83.6,18.5
2019,Chile,15.21,3.26,82.3,18.7
2020,Chile,15.21,3.26,82.3,19.0
2021,Chile,15.21,3.26,82.3,19.1
2017,China,686.09,677.91,50.3,1371.0
2018,China,729.37,641.63,53.2,1379.0
2019,China,748.8,630.2,54.3,1385.0
2020,China,748.8,630.2,54.3,1390.0
2021,China,748.8,630.2,54.3,1395.0
2017,Colombia,26.57,20.95,55.9,48.2
2018,Colombia,28.01,20.17,58.1,48.9
2019,Colombia,30.45,18.46,62.3,49.7
2020,Colombia,31.85,17.82,64.1,50.3
2021,Colombia,32.72,17.62,65.0,50.9
2017,Congo (DRC),2.9,73.34,3.8,78.8
2018,Congo (DRC),4.89,73.9,6.2,81.4
2019,Congo (DRC),7.02,74.38,8.6,84.1
2020,Congo (DRC),7.02,74.38,8.6,86.8
2021,Congo (DRC),7.02,74.38,8.6,89.6
2017,Costa Rica,2.9,1.95,59.8,4.9
2018,Costa Rica,3.23,1.67,65.9,5.0
2019,Costa Rica,3.54,1.41,71.6,5.0
2020,Costa Rica,3.67,1.33,73.5,5.0
2021,Costa Rica,4.1,0.95,81.2,5.1
2017,Cote d'Ivoire,8.93,14.3,38.4,23.8
2018,Cote d'Ivoire,9.82,14.0,41.2,24.4
2019,Cote d'Ivoire,10.71,13.72,43.8,25.1
2020,Cote d'Ivoire,9.41,15.66,37.5,25.7
2021,Cote d'Ivoire,9.37,16.34,36.5,26.4
2017,Croatia,2.96,1.28,69.8,4.2
2018,Croatia,3.06,1.15,72.7,4.2
2019,Croatia,2.81,1.38,67.1,4.2
2020,Croatia,3.13,1.03,75.3,4.1
2021,Croatia,3.27,0.86,79.1,4.1
2017,Cuba,4.22,7.1,37.3,11.3
2018,Cuba,4.87,6.46,43.0,11.3
2019,Cuba,6.48,4.86,57.1,11.3
2020,Cuba,7.11,4.23,62.7,11.3
2021,Cuba,7.01,4.32,61.8,11.3
2017,Czech Republic,8.02,2.58,75.7,10.6
2018,Czech Republic,8.12,2.5,76.5,10.6
2019,Czech Republic,8.38,2.26,78.7,10.7
2020,Czech Republic,8.61,2.06,80.7,10.7
2021,Czech Republic,8.64,2.05,80.9,10.7
2017,Denmark,5.48,0.21,96.3,5.7
2018,Denmark,5.54,0.17,97.0,5.7
2019,Denmark,5.57,0.17,97.1,5.8
2020,Denmark,5.6,0.15,97.3,5.8
2021,Denmark,5.66,0.11,98.0,5.8
2017,Dominican Republic,5.57,4.71,54.2,10.4
2018,Dominican Republic,6.64,3.76,63.9,10.5
2019,Dominican Republic,7.1,3.41,67.6,10.6
2020,Dominican Republic,7.95,2.68,74.8,10.7
2021,Dominican Republic,7.95,2.68,74.8,10.8
2017,Ecuador,7.97,8.31,48.9,16.5
2018,Ecuador,8.94,7.59,54.1,16.8
2019,Ecuador,8.94,7.59,54.1,17.0
2020,Ecuador,8.94,7.59,54.1,17.3
2021,Ecuador,8.94,7.59,54.1,17.5
2017,Egypt,33.66,55.34,37.8,91.0
2018,Egypt,37.54,53.46,41.2,95.2
2019,Egypt,42.79,52.41,45.0,97.1
2020,Egypt,45.56,51.54,46.9,98.9
2021,Egypt,56.65,42.25,57.3,100.9
2017,El Salvador,1.7,4.63,26.8,6.4
2018,El Salvador,1.84,4.52,29.0,6.4
2019,El Salvador,2.16,4.23,33.8,6.4
2020,El Salvador,2.16,4.23,33.8,6.4
2021,El Salvador,2.16,4.23,33.8,6.5
2017,Estonia,1.16,0.15,88.4,1.3
2018,Estonia,1.15,0.17,87.2,1.3
2019,Estonia,1.16,0.16,88.1,1.3
2020,Estonia,1.18,0.14,89.4,1.3
2021,Estonia,1.19,0.14,89.5,1.3
2017,Ethiopia,13.97,86.87,13.9,103.6
2018,Ethiopia,15.92,87.68,15.4,106.4
2019,Ethiopia,19.81,86.59,18.6,109.2
2020,Ethiopia,19.81,86.59,18.6,112.1
2021,Ethiopia,19.81,86.59,18.6,115.0
2017,Finland,4.74,0.74,86.4,5.5
2018,Finland,4.82,0.68,87.7,5.5
2019,Finland,4.82,0.69,87.5,5.5
2020,Finland,4.91,0.61,88.9,5.5
2021,Finland,4.96,0.57,89.6,5.5
2017,France,50.28,14.18,78.0,64.7
2018,France,51.26,13.41,79.3,64.8
2019,France,52.2,12.64,80.5,65.0
2020,France,53.32,11.67,82.0,65.1
2021,France,54.28,10.85,83.3,65.3
2017,Gabon,0.89,1.06,45.8,2.0
2018,Gabon,0.97,1.04,48.1,2.1
2019,Gabon,1.04,1.02,50.3,2.1
2020,Gabon,1.04,1.02,50.3,2.2
2021,Gabon,1.04,1.02,50.3,2.2
2017,Germany,71.98,10.2,87.6,82.6
2018,Germany,69.51,13.08,84.2,82.8
2019,Germany,69.84,12.91,84.4,82.8
2020,Germany,72.1,10.74,87.0,82.8
2021,Germany,73.01,9.83,88.1,82.8
2017,Ghana,6.96,20.89,25.0,28.5
2018,Ghana,9.87,18.61,34.7,29.1
2019,Ghana,11.03,18.09,37.9,29.8
2020,Ghana,11.03,18.09,37.9,30.4
2021,Ghana,11.03,18.09,37.9,31.1
2017,Greece,7.12,3.54,66.8,10.6
2018,Greece,7.33,3.28,69.1,10.6
2019,Greece,7.39,3.18,69.9,10.5
2020,Greece,7.6,2.92,72.2,10.5
2021,Greece,7.92,2.55,75.7,10.4
2017,Guatemala,4.68,11.57,28.8,16.6
2018,Guatemala,5.72,10.86,34.5,16.9
2019,Guatemala,6.88,10.03,40.7,17.2
2020,Guatemala,6.88,10.03,40.7,17.6
2021,Guatemala,6.88,10.03,40.7,17.9
2017,Guinea,0.94,10.49,8.2,11.7
2018,Guinea,1.15,10.59,9.8,12.1
2019,Guinea,1.38,10.69,11.4,12.4
2020,Guinea,2.71,9.7,21.8,12.8
2021,Guinea,2.71,9.7,21.8,13.1
2017,Honduras,2.32,6.25,27.1,8.7
2018,Honduras,2.57,6.14,29.5,8.9
2019,Honduras,2.85,6.01,32.1,9.0
2020,Honduras,2.85,6.01,32.1,9.8
2021,Honduras,2.85,6.01,32.1,9.9
2017,Hong Kong,6.1,1.08,84.9,7.2
2018,Hong Kong,6.34,0.91,87.5,7.3
2019,Hong Kong,6.53,0.77,89.4,7.4
2020,Hong Kong,6.67,0.7,90.5,7.4
2021,Hong Kong,6.82,0.61,91.7,7.5
2017,Hungary,7.12,2.66,72.8,9.8
2018,Hungary,7.73,2.02,79.3,9.7
2019,Hungary,7.47,2.26,76.8,9.7
2020,Hungary,7.38,2.32,76.1,9.7
2021,Hungary,7.78,1.9,80.4,9.7
2017,India,222.73,1087.43,17.0,1324.5
2018,India,291.39,1033.12,22.0,1338.7
2019,India,428.38,910.3,32.0,1352.6
2020,India,271.63,1081.01,20.1,1366.4
2021,India,271.63,1081.01,20.1,1380.0
2017,Indonesia,56.43,199.33,22.1,258.2
2018,Indonesia,65.7,192.49,25.4,260.6
2019,Indonesia,84.26,176.32,32.3,262.9
2020,Indonesia,104.92,158.01,39.9,265.3
2021,Indonesia,126.52,138.78,47.7,267.5
2017,Iran,35.58,42.91,45.3,79.6
2018,Iran,42.35,37.21,53.2,80.7
2019,Iran,51.67,29.01,64.0,81.8
2020,Iran,57.26,24.54,70.0,82.9
2021,Iran,57.26,24.54,70.0,84.0
2017,Ireland,3.88,0.77,83.5,4.7
2018,Ireland,3.88,0.77,83.5,4.8
2019,Ireland,4.0,0.76,84.1,4.8
2020,Ireland,4.07,0.75,84.5,4.9
2021,Ireland,4.07,0.75,84.5,4.9
2017,Israel,6.48,1.9,77.4,8.5
2018,Israel,6.8,1.74,79.7,8.7
2019,Israel,7.11,1.6,81.6,8.9
2020,Israel,7.44,1.44,83.7,9.1
2021,Israel,7.85,1.2,86.8,9.2
2017,Italy,35.22,25.36,58.1,60.7
2018,Italy,37.2,23.46,61.3,60.7
2019,Italy,38.27,22.4,63.1,60.6
2020,Italy,45.1,15.53,74.4,60.6
2021,Italy,45.1,15.53,74.4,60.5
2017,Jamaica,1.15,1.57,42.2,2.7
2018,Jamaica,1.21,1.52,44.4,2.7
2019,Jamaica,1.5,1.23,55.1,2.7
2020,Jamaica,1.5,1.23,55.1,2.7
2021,Jamaica,1.5,1.23,55.1,2.7
2017,Japan,116.54,11.44,91.1,127.8
2018,Japan,119.05,8.71,93.2,127.5
2019,Japan,116.96,10.55,91.7,127.2
2020,Japan,116.11,11.09,91.3,126.9
2021,Japan,116.11,11.09,91.3,126.5
2017,Jordan,5.76,3.83,60.1,9.8
2018,Jordan,6.1,3.69,62.3,10.1
2019,Jordan,6.71,3.34,66.8,10.3
2020,Jordan,6.71,3.34,66.8,10.6
2021,Jordan,6.71,3.34,66.8,11.2
2017,Kazakhstan,12.45,5.13,70.8,17.8
2018,Kazakhstan,13.3,4.53,74.6,18.1
2019,Kazakhstan,13.82,4.26,76.4,18.3
2020,Kazakhstan,14.46,3.86,78.9,18.6
2021,Kazakhstan,15.19,3.36,81.9,18.8
2017,Kenya,7.94,39.94,16.6,49.1
2018,Kenya,8.14,40.91,16.6,50.2
2019,Kenya,8.95,41.27,17.8,51.4
2020,Kenya,8.95,41.27,17.8,52.6
2021,Kenya,11.86,40.71,22.6,53.8
2017,Kuwait,2.76,1.08,72.0,4.0
2018,Kuwait,3.1,0.86,78.4,4.1
2019,Kuwait,3.98,0.08,98.0,4.1
2020,Kuwait,4.12,0.02,99.6,4.2
2021,Kuwait,4.19,0.02,99.5,4.3
2017,Laos,1.23,5.51,18.2,6.8
2018,Laos,1.5,5.35,21.9,7.0
2019,Laos,1.77,5.18,25.5,7.1
2020,Laos,1.77,5.18,25.5,7.2
2021,Laos,1.77,5.18,25.5,7.3
2017,Latvia,1.58,0.42,79.2,2.0
2018,Latvia,1.57,0.4,79.8,2.0
2019,Latvia,1.56,0.39,80.1,1.9
2020,Latvia,1.61,0.32,83.6,1.9
2021,Latvia,1.65,0.26,86.1,1.9
2017,Lebanon,4.83,1.7,74.0,6.7
2018,Lebanon,5.11,1.6,76.1,6.8
2019,Lebanon,5.33,1.49,78.2,6.9
2020,Lebanon,5.33,1.49,78.2,6.9
2021,Lebanon,5.33,1.49,78.2,6.8
2017,Liberia,1.48,3.0,33.0,4.6
2018,Liberia,0.34,4.25,7.3,4.7
2019,Liberia,0.38,4.33,8.0,4.8
2020,Liberia,0.38,4.33,8.0,4.9
2021,Liberia,0.38,4.33,8.0,5.1
2017,Lithuania,2.09,0.84,71.4,2.9
2018,Lithuania,2.15,0.74,74.4,2.8
2019,Lithuania,2.21,0.64,77.6,2.8
2020,Lithuania,2.23,0.57,79.7,2.8
2021,Lithuania,2.25,0.51,81.6,2.7
2017,Madagascar,1.0,22.86,4.2,24.5
2018,Madagascar,1.16,23.37,4.7,25.2
2019,Madagascar,1.16,23.37,4.7,25.9
2020,Madagascar,1.16,23.37,4.7,26.6
2021,Madagascar,1.16,23.37,4.7,27.4
2017,Malawi,0.89,15.86,5.3,17.2
2018,Malawi,1.97,15.24,11.5,17.7
2019,Malawi,2.44,15.23,13.8,18.1
2020,Malawi,2.44,15.23,13.8,18.6
2021,Malawi,2.44,15.23,13.8,19.1
2017,Malaysia,21.51,8.76,71.1,30.7
2018,Malaysia,24.18,6.51,78.8,31.1
2019,Malaysia,24.93,6.18,80.1,31.5
2020,Malaysia,25.6,5.93,81.2,32.0
2021,Malaysia,26.91,5.04,84.2,32.4
2017,Mali,1.68,14.58,10.3,16.8
2018,Mali,1.86,14.91,11.1,17.3
2019,Mali,2.2,15.11,12.7,17.9
2020,Mali,2.2,15.11,12.7,18.5
2021,Mali,2.2,15.11,12.7,19.1
2017,Mexico,69.98,51.87,57.4,123.3
2018,Mexico,73.43,49.9,59.5,124.8
2019,Mexico,79.67,45.1,63.9,126.2
2020,Mexico,83.01,43.19,65.8,127.6
2021,Mexico,89.41,38.19,70.1,128.9
2017,Mongolia,0.68,2.32,22.5,3.1
2018,Mongolia,0.68,2.38,22.3,3.1
2019,Mongolia,0.74,2.37,23.7,3.2
2020,Mongolia,1.49,1.68,47.1,3.2
2021,Mongolia,1.65,1.58,51.1,3.3
2017,Morocco,19.79,14.88,57.1,35.1
2018,Morocco,20.47,14.66,58.3,35.6
2019,Morocco,21.98,13.61,61.8,36.0
2020,Morocco,23.35,12.68,64.8,36.5
2021,Morocco,27.13,9.35,74.4,36.9
2017,Mozambique,4.58,22.46,16.9,27.8
2018,Mozambique,4.88,22.95,17.5,28.6
2019,Mozambique,5.95,22.7,20.8,29.5
2020,Mozambique,5.95,22.7,20.8,30.4
2021,Mozambique,5.95,22.7,20.8,31.3
2017,Myanmar,11.45,41.24,21.7,53.0
2018,Myanmar,13.3,39.74,25.1,53.4
2019,Myanmar,12.61,40.77,23.6,53.7
2020,Myanmar,12.61,40.77,23.6,54.0
2021,Myanmar,12.61,40.77,23.6,54.4
2017,Namibia,0.59,1.72,25.7,2.4
2018,Namibia,0.73,1.63,31.0,2.4
2019,Namibia,0.88,1.52,36.8,2.4
2020,Namibia,0.88,1.52,36.8,2.5
2021,Namibia,0.88,1.52,36.8,2.5
2017,Nepal,4.75,22.27,17.6,27.3
2018,Nepal,5.37,21.89,19.7,27.6
2019,Nepal,5.91,21.72,21.4,28.1
2020,Nepal,5.91,21.72,21.4,28.6
2021,Nepal,5.91,21.72,21.4,29.1
2017,Netherlands,15.5,1.4,91.7,17.0
2018,Netherlands,15.35,1.63,90.4,17.1
2019,Netherlands,15.92,1.16,93.2,17.2
2020,Netherlands,15.9,1.28,92.6,17.3
2021,Netherlands,16.1,1.16,93.3,17.3
2017,New Zealand,4.06,0.54,88.2,4.7
2018,New Zealand,4.15,0.54,88.5,4.8
2019,New Zealand,4.34,0.44,90.8,4.9
2020,New Zealand,4.34,0.44,90.8,4.9
2021,New Zealand,4.34,0.44,90.8,5.0
2017,Nicaragua,1.23,5.0,19.7,6.3
2018,Nicaragua,1.55,4.75,24.6,6.4
2019,Nicaragua,1.78,4.61,27.9,6.5
2020,Nicaragua,1.78,4.61,27.9,6.5
2021,Nicaragua,1.78,4.61,27.9,6.6
2017,Niger,0.5,19.51,2.5,20.8
2018,Niger,0.9,19.89,4.3,21.6
2019,Niger,2.21,19.39,10.2,22.4
2020,Niger,1.18,21.26,5.3,23.3
2021,Niger,1.18,21.26,5.3,24.2
2017,Nigeria,65.21,115.93,36.0,186.0
2018,Nigeria,47.74,138.22,25.7,190.9
2019,Nigeria,14.26,176.62,7.5,195.9
2020,Nigeria,14.26,176.62,7.5,201.0
2021,Nigeria,14.26,176.62,7.5,206.1
2017,Oman,3.06,1.1,73.5,4.4
2018,Oman,3.39,1.02,76.8,4.6
2019,Oman,3.66,0.9,80.2,4.6
2020,Oman,3.66,0.9,80.2,4.6
2021,Oman,4.27,0.35,92.4,4.4
2017,Pakistan,27.92,171.51,14.0,203.6
2018,Pakistan,25.22,178.41,12.4,207.9
2019,Pakistan,35.56,172.34,17.1,212.2
2020,Pakistan,35.56,172.34,17.1,216.6
2021,Pakistan,36.97,179.6,17.1,220.9
2017,Panama,2.03,1.94,51.2,4.0
2018,Panama,2.18,1.86,54.0,4.1
2019,Panama,2.46,1.64,60.0,4.2
2020,Panama,2.58,1.6,61.8,4.2
2021,Panama,2.7,1.54,63.6,4.3
2017,Papua New Guinea,0.64,7.47,7.9,8.3
2018,Papua New Guinea,0.79,7.48,9.6,8.4
2019,Papua New Guinea,0.95,7.49,11.2,8.6
2020,Papua New Guinea,0.95,7.49,11.2,8.8
2021,Papua New Guinea,0.95,7.49,11.2,8.9
2017,Paraguay,3.33,3.36,49.7,6.8
2018,Paraguay,3.62,3.16,53.4,6.9
2019,Paraguay,4.2,2.67,61.1,7.0
2020,Paraguay,4.52,2.44,65.0,7.1
2021,Paraguay,4.83,2.22,68.5,7.1
2017,Peru,12.73,18.43,40.9,31.5
2018,Peru,14.32,17.17,45.5,31.8
2019,Peru,16.06,15.77,50.5,32.2
2020,Peru,17.71,14.46,55.1,32.7
2021,Peru,19.6,13.09,60.0,33.2
2017,Philippines,36.76,65.35,36.0,103.7
2018,Philippines,57.53,46.13,55.5,105.2
2019,Philippines,63.16,42.01,60.1,106.7
2020,Philippines,63.16,42.01,60.1,108.1
2021,Philippines,46.52,61.6,43.0,109.6
2017,Poland,25.86,12.17,68.0,38.0
2018,Poland,27.85,10.14,73.3,38.0
2019,Poland,28.84,9.11,76.0,37.9
2020,Poland,29.4,8.52,77.5,37.9
2021,Poland,32.02,5.87,84.5,37.8
2017,Portugal,7.12,3.25,68.6,10.3
2018,Portugal,7.28,3.06,70.4,10.3
2019,Portugal,7.61,2.7,73.8,10.3
2020,Portugal,7.68,2.61,74.7,10.3
2021,Portugal,7.74,2.53,75.3,10.3
2017,Qatar,2.38,0.18,92.9,2.7
2018,Qatar,2.52,0.13,95.1,2.7
2019,Qatar,2.65,0.07,97.4,2.8
2020,Qatar,2.77,0.01,99.7,2.8
2021,Qatar,2.82,0.01,99.7,2.9
2017,Romania,11.11,8.81,55.8,19.8
2018,Romania,11.78,8.02,59.5,19.7
2019,Romania,12.53,7.13,63.7,19.5
2020,Romania,13.79,5.72,70.7,19.4
2021,Romania,14.26,5.1,73.7,19.2
2017,Russia,103.77,44.26,70.1,148.3
2018,Russia,108.41,39.91,73.1,148.6
2019,Russia,112.93,35.65,76.0,148.8
2020,Russia,120.3,28.47,80.9,148.9
2021,Russia,123.06,25.85,82.6,149.0
2017,Rwanda,2.05,9.32,18.0,11.7
2018,Rwanda,2.33,9.34,20.0,12.0
2019,Rwanda,2.61,9.37,21.8,12.3
2020,Rwanda,2.61,9.37,21.8,12.6
2021,Rwanda,2.61,9.37,21.8,13.0
2017,Saudi Arabia,21.51,9.39,69.6,31.8
2018,Saudi Arabia,23.8,7.99,74.9,32.6
2019,Saudi Arabia,30.71,1.9,94.2,33.4
2020,Saudi Arabia,31.18,2.24,93.3,34.2
2021,Saudi Arabia,32.76,1.46,95.7,35.0
2017,Senegal,3.94,10.64,27.0,15.0
2018,Senegal,3.85,11.14,25.7,15.4
2019,Senegal,4.57,10.85,29.6,15.8
2020,Senegal,4.57,10.85,29.6,16.3
2021,Senegal,4.57,10.85,29.6,16.7
2017,Sierra Leone,0.46,6.72,6.3,7.3
2018,Sierra Leone,0.86,6.47,11.8,7.5
2019,Sierra Leone,0.99,6.5,13.2,7.7
2020,Sierra Leone,0.99,6.5,13.2,7.8
2021,Sierra Leone,0.99,6.5,13.2,8.0
2017,Singapore,4.37,1.16,79.0,5.6
2018,Singapore,4.74,0.87,84.5,5.6
2019,Singapore,4.74,0.87,84.5,5.6
2020,Singapore,4.97,0.67,88.2,5.7
2021,Singapore,5.07,0.63,88.9,5.7
2017,Slovakia,4.22,1.22,77.6,5.4
2018,Slovakia,4.38,1.06,80.5,5.4
2019,Slovakia,4.45,1.0,81.6,5.5
2020,Slovakia,4.39,1.07,80.4,5.5
2021,Slovakia,4.52,0.94,82.9,5.5
2017,South Africa,28.76,26.63,51.9,56.2
2018,South Africa,30.35,25.86,54.0,57.0
2019,South Africa,32.02,24.99,56.2,57.8
2020,South Africa,32.02,24.99,56.2,58.6
2021,South Africa,32.02,24.99,56.2,59.3
2017,South Korea,45.69,5.14,89.9,51.0
2018,South Korea,47.33,3.65,92.8,51.1
2019,South Korea,48.58,2.52,95.1,51.2
2020,South Korea,49.14,2.04,96.0,51.2
2021,South Korea,49.26,1.97,96.2,51.3
2017,Spain,36.73,9.95,78.7,46.6
2018,Spain,37.57,9.07,80.6,46.6
2019,Spain,39.47,7.18,84.6,46.7
2020,Spain,40.21,6.49,86.1,46.7
2021,Spain,42.4,4.34,90.7,46.8
2017,Sri Lanka,2.53,18.38,12.1,21.0
2018,Sri Lanka,3.45,17.57,16.4,21.1
2019,Sri Lanka,7.21,13.92,34.1,21.2
2020,Sri Lanka,7.21,13.92,34.1,21.3
2021,Sri Lanka,7.21,13.92,34.1,21.4
2017,Sudan,10.35,28.55,26.6,39.8
2018,Sudan,5.62,34.23,14.1,40.8
2019,Sudan,12.6,28.21,30.9,41.8
2020,Sudan,12.6,28.21,30.9,42.8
2021,Sudan,12.6,28.21,30.9,43.8
2017,Sweden,8.85,0.92,90.6,9.8
2018,Sweden,8.82,1.02,89.7,9.9
2019,Sweden,9.22,0.69,93.0,10.0
2020,Sweden,9.22,0.69,93.0,10.1
2021,Sweden,9.5,0.55,94.5,10.1
2017,Switzerland,7.28,1.04,87.5,8.4
2018,Switzerland,7.49,0.91,89.1,8.5
2019,Switzerland,7.6,0.87,89.7,8.5
2020,Switzerland,7.6,0.87,89.7,8.6
2021,Switzerland,8.02,0.59,93.1,8.7
2017,Taiwan,18.33,5.16,78.0,23.5
2018,Taiwan,18.77,4.77,79.7,23.6
2019,Taiwan,18.77,4.77,79.7,23.6
2020,Taiwan,20.34,3.25,86.2,23.6
2021,Taiwan,20.96,2.64,88.8,23.6
2017,Tanzania,10.3,41.19,20.0,53.0
2018,Tanzania,7.16,45.89,13.5,54.7
2019,Tanzania,8.75,45.91,16.0,56.3
2020,Tanzania,8.75,45.91,16.0,58.0
2021,Tanzania,8.75,45.91,16.0,59.7
2017,Thailand,27.02,41.7,39.3,69.0
2018,Thailand,32.76,36.21,47.5,69.2
2019,Thailand,36.61,32.6,52.9,69.4
2020,Thailand,39.45,29.98,56.8,69.6
2021,Thailand,46.41,23.22,66.7,69.8
2017,Trinidad & Tobago,0.95,0.42,69.2,1.4
2018,Trinidad & Tobago,1.01,0.37,73.3,1.4
2019,Trinidad & Tobago,1.07,0.31,77.3,1.4
2020,Trinidad & Tobago,1.07,0.31,77.3,1.4
2021,Trinidad & Tobago,1.07,0.31,77.3,1.4
2017,Tunisia,5.2,5.98,46.5,11.3
2018,Tunisia,5.6,5.7,49.6,11.4
2019,Tunisia,6.34,5.09,55.5,11.6
2020,Tunisia,7.43,4.14,64.2,11.7
2021,Tunisia,7.8,3.89,66.7,11.8
2017,Turkey,42.21,36.32,53.7,79.8
2018,Turkey,46.58,33.25,58.3,81.1
2019,Turkey,52.47,28.65,64.7,82.3
2020,Turkey,58.5,23.84,71.0,83.4
2021,Turkey,61.72,21.71,74.0,84.3
2017,UAE,8.38,0.88,90.5,9.4
2018,UAE,8.48,0.88,90.6,9.5
2019,UAE,9.0,0.49,94.8,9.6
2020,UAE,9.48,0.15,98.5,9.8
2021,UAE,9.69,0.08,99.1,9.5
2017,Uganda,6.82,31.41,17.8,39.6
2018,Uganda,8.67,30.97,21.9,41.2
2019,Uganda,9.76,31.4,23.7,42.7
2020,Uganda,9.76,31.4,23.7,44.3
2021,Uganda,9.76,31.4,23.7,45.5
2017,Ukraine,20.82,21.77,48.9,42.5
2018,Ukraine,22.54,19.99,53.0,42.4
2019,Ukraine,24.94,17.41,58.9,42.2
2020,Ukraine,26.39,15.8,62.6,42.0
2021,Ukraine,26.39,15.8,62.6,41.8
2017,United Kingdom,60.17,5.23,92.0,65.8
2018,United Kingdom,62.35,3.44,94.8,66.7
2019,United Kingdom,60.34,6.39,90.4,67.1
2020,United Kingdom,60.89,6.25,90.7,67.5
2021,United Kingdom,62.48,5.05,92.5,67.9
2017,United States,239.23,81.65,74.6,323.0
2018,United States,276.32,46.69,85.5,325.1
2019,United States,283.72,41.37,87.3,327.1
2020,United States,289.48,37.62,88.5,329.1
